;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0,25;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.1.2;0,01;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.1.3;0,0;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.2.1;0,02;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.2.2;0,0;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.2.3;0,0;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.3.1;0,05;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.4.1;0,05;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.5.1;0,03;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.6.1;0,01;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.7.1;0,0;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.7.2;0,0;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.8.1;0,02;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.9.1;0,03;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.10.1;0,03;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.10.2;0,02;0,06;0,1;0,04;0,19;0,05;0,17;0,33
1.11.1;0,0;0,0;0,05;0,11;0,09;0,01;0,0;0,17
1.11.2;0,02;0,06;0,1;0,04;0,19;0,05;0,17;0,33
2.1.1;0,0;0,0;0,06;0,01;0,0;0,0;0,0;0,07
2.1.2;0,0;0,0;0,04;0,0;0,01;0,01;0,0;0,16
2.2.1;0,0;0,0;0,06;0,01;0,0;0,0;0,0;0,07
2.2.2;0,0;0,0;0,04;0,0;0,01;0,01;0,0;0,16
3.1.1;0,0;0,07;0,23;0,0;0,07;0,03;0,01;0,12
3.2.1;0,0;0,07;0,19;0,0;0,09;0,02;0,0;0,11
4.1.1;0,0;0,0;0,08;0,02;0,02;0,01;0,0;0,05
5.1.1;0,0;0,0;0,13;0,02;0,03;0,01;0,0;0,17
6.1.1;0,01;0,08;0,07;0,02;0,16;0,09;0,0;0,07
7.1.1;0,08;0,0;0,15;0,01;0,26;0,15;0,01;0,03
7.1.2;0,08;0,0;0,15;0,01;0,26;0,15;0,01;0,03
7.1.3;0,08;0,0;0,15;0,01;0,26;0,15;0,01;0,03
7.2.1;0,06;0,0;0,09;0,02;0,21;0,15;0,0;0,11
8.1.1;0,0;0,0;0,04;0,02;0,05;0,02;0,0;0,15
8.1.2;0,0;0,0;0,01;0,01;0,14;0,11;0,0;0,12
9.1.1;0,0;0,0;0,0;0,0;0,33;0,33;0,0;0,0
10.1.1;0,0;0,15;0,25;0,25;0,17;0,09;0,01;0,09
10.1.2;0,0;0,25;0,1;0,07;0,1;0,05;0,0;0,08
11.1.1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12.1.1;0,0;0,0;0,0;0,0;0,24;0,02;0,0;0,0
